Abbrev,Team_name,City,League
ARI,Arizona Diamondbacks,Arizona,Maj-NL
ATL,Atlanta Braves,Atlanta,Maj-NL
BAL,Baltimore Orioles,Baltimore,Maj-AL
BOS,Boston Red Sox,Boston,Maj-AL
CHC,Chicago Cubs,Chicago,Maj-NL
CHW,Chicago White Sox,Chicago,Maj-AL
CIN,Cincinnati Reds,Cincinnati,Maj-NL
CLE,Cleveland Indians,Cleveland,Maj-AL
COL,Colorado Rockies,Colorado,Maj-NL
DET,Detroit Tigers,Detroit,Maj-AL
HOU,Houston Astros,Houston,Maj-AL
KCR,Kansas City Royals,Kansas City,Maj-AL
LAA,Los Angeles Angels,Los Angeles,Maj-AL
LAD,Los Angeles Dodgers,Los Angeles,Maj-NL
MIA,Miami Marlins,Miami,Maj-NL
MIL,Milwaukee Brewers,Milwaukee,Maj-NL
MIN,Minnesota Twins,Minnesota,Maj-AL
NYM,New York Mets,New York,Maj-NL
NYY,New York Yankees,New York,Maj-AL
OAK,Oakland Athletics,Oakland,Maj-AL
PHI,Philadelphia Phillies,Philadelphia,Maj-NL
PIT,Pittsburgh Pirates,Pittsburgh,Maj-NL
SDP,San Diego Padres,San Diego,Maj-NL
SFG,San Francisco Giants,San Francisco,Maj-NL
SEA,Seattle Mariners,Seattle,Maj-AL
STL,St. Louis Cardinals,St. Louis,Maj-NL
TBR,Tampa Bay Rays,Tampa Bay,Maj-AL
TEX,Texas Rangers,Texas,Maj-AL
TOR,Toronto Blue Jays,Toronto,Maj-AL
WSN,Washington Nationals,Washington,Maj-NL
